created_at	username	userid	tweet_id_str	in_reply_to_user_id	text
Fri Feb 03 17:42:01 +0000 2017	Shelley Moore Capito	193794406	827572864454946819	null	The #STARAct will advance pediatric cancer research &amp; treatments. Proud to re-introduce this important legislation: https://t.co/ZAJ8ugDwTp
Fri Feb 03 17:42:43 +0000 2017	Senator Jack Reed	486694111	827573041119055872	null	Heading to Senate floor to urge U.S. Senate to reject #DeVos. She is uniquely unsuited &amp; unqualified to lead the Department of Education.
Fri Feb 03 17:50:02 +0000 2017	Senator Joe Donnelly	216503958	827574883076997120	null	#ICYMI: Joe met w/ @USArmy Sec. Speer to discuss solutions for impact federal hiring freeze will have on… https://t.co/dy86bnUr6S
Fri Feb 03 17:54:01 +0000 2017	Elizabeth Warren	970207298	827575885788221441	null	.@realDonaldTrump talked a big game about Wall St during his campaign – but as @POTUS, we're finding out whose side he's really on.
Fri Feb 03 17:55:00 +0000 2017	Elizabeth Warren	970207298	827576131519971333	null	After literally standing next to Wall St CEOs, @realDonaldTrump made it easier for investment advisors to cheat you out of your savings.
Fri Feb 03 17:55:02 +0000 2017	Sen. Heidi Heitkamp	1061029050	827576143905685505	null	Like so many NDans, access to a quality public school education is personal &amp; it plays a vital role in our lives, f… https://t.co/Hcg7uVdumm
Fri Feb 03 17:55:58 +0000 2017	Elizabeth Warren	970207298	827576377775894529	null	And @realDonaldTrump issued an order that puts 2 @GoldmanSachs execs in charge of gutting the rules that protect you from financial fraud.
Fri Feb 03 17:56:07 +0000 2017	Ron Wyden	250188760	827576415663030273	null	Reminder! Because of Senate votes, today's Multnomah &amp; Clackamas County town halls have been rescheduled for Feb. 26.
Fri Feb 03 17:56:54 +0000 2017	Elizabeth Warren	970207298	827576610157113344	null	The Wall St bankers may be popping champagne, but Americans haven't forgotten the 2008 financial crisis – and they won't forget today.
Fri Feb 03 18:01:15 +0000 2017	Senator Jeff Merkley	29201047	827577706141335552	null	New predictions: climate shifts in OR to exacerbate erosion, flooding, etc. &amp; be a major blow to economy… https://t.co/Mn8UosYqNH
Fri Feb 03 18:03:01 +0000 2017	Sen Dianne Feinstein	476256944	827578152968929282	null	This month we honor the historic and cultural contributions made by black Americans across the nation. https://t.co/A4sN5wWbUb
Fri Feb 03 18:03:38 +0000 2017	Johnny Isakson	78403308	827578304412712961	null	It is long past time we hold Iran’s feet to the fire. https://t.co/b0fr5ZY8l4
Fri Feb 03 18:04:10 +0000 2017	Senator Tim Kaine	172858784	827578440509440002	null	At our annual retreat at @MountVernon. Greatest Senate staff ever. Go Team Kaine! https://t.co/UW3MvkML5l
Fri Feb 03 18:04:21 +0000 2017	Senator Bob Corker	73303753	827578487426994176	null	I am confident @BetsyDeVos will serve our parents, our teachers, and most importantly, our students well. More: https://t.co/gfLqAsSXId.
